RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
29,4,Mike Evans,TB,2,2,4,13,1.5,46% (6/13),WR,13,9,46,40,37,32,48,37,40,33  +7,,,,,,0,0,0,0.5,246,79.8,"1,073.50",10,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,240.4,17.2,74.70%,,,,110,74,"1,004",13.6,11,57,15,,,,,,,,,,,,,,,,,,
30,4,Trey McBride,ARI,5,2,3,-3,1.3,53% (8/15),TE,3,8,25,28,35,27,28,25,28,27,,,,,,,,,0.5,139.3,103.9,"1,051.00",5.8,,,,,,,,,,,,,,,,,,,,1,2,1,0,16,138.8,8.7,99.70%,,,,147,111,"1,146",10.3,2,37,10,,,,,,,,,,,,,,,,,,
31,4,James Cook III,BUF,3,4,4,0,2.1,60% (9/15),RB,13,7,32,29,26,30,27,33,29.5,28,,,,,,232.5,"1,090.00",9.8,1.4,202.1,31.6,258.7,1.9,,,,,,,,,,,,,,,,,,,,207,"1,009",16,0,16,234.7,14.7,99.40%,4.9,65,6,38,32,258,8.1,2,,,,,,,,,,,,,,,,,,,,
32,4,Jayden Daniels,WAS,5,2,3,-4,2,56% (9/16),QB,3,12,27,32,29,29,32,35,30.7,30  -1,528.2,359,"3,853.70",26.7,10.5,137.5,750.1,5.7,2.5,354.7,,,,,,,,,,,,,,,331,480,69,"3,568",7.4,25,9,47,148,891,6,0,17,364.7,21.5,76.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,Jaxon Smith-Njigba,SEA,4,4,3,-4,1.6,50% (8/16),WR,14,8,37,30,40,39,33,28,34.5,31  +2,,,,,,2.7,20.9,0,0.6,244.8,93.1,"1,110.70",6.6,,,,,,,,,,,,,,,,,,,,5,26,0,0,17,253,14.9,99.50%,,,,137,100,"1,130",11.3,6,46,14,,,,,,,,,,,,,,,,,,
34,5,Jalen Hurts,PHI,5,1,3,7,0,53% (8/15),QB,4,9,28,33,31,34,43,42,35.2,34,460,310.9,"3,530.80",23.6,8.6,147.3,633.6,12.7,3.9,358.7,,,,,,,,,,,,,,,248,361,68.7,"2,903",8,18,5,38,150,630,14,5,15,320,21.3,99.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5,Davante Adams,LAR,5,2,3,9,1.3,46% (6/13),WR,15,8,34,44,34,48,42,40,40.3,45  -3,,,,,,0.3,0,0,0.5,243.8,85.1,"1,098.30",8.3,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,241.3,17.2,98.50%,,,,141,85,"1,063",12.5,8,71,16,,,,,,,,,,,,,,,,,,
36,5,Tyreek Hill,MIA,3,4,3,-6,-2.1,31% (5/16),WR,16,12,31,27,39,36,31,31,32.5,32  -1,,,,,,7.3,41,0.1,0.6,259.9,92.7,"1,171.40",7.7,,,,,,,,,,,,,,,,,,,,8,53,0,0,17,218.2,12.8,50.30%,,,,123,81,959,11.8,6,80,13,,,,,,,,,,,,,,,,,,
37,5,Omarion Hampton,LAC,3,3,4,-5,-,-,RB,14,12,39,39,36,45,26,30,35.8,36  -1,,,,,,225.5,985.6,8.7,2.1,182.8,35.2,273,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,Marvin Harrison Jr.,ARI,4,4,4,2,-1.6,37% (6/16),WR,17,8,44,41,46,41,45,34,41.8,41  +3,,,,,,0,3.2,0,1,231.4,78.7,"1,087.20",7.6,,,,,,,,,,,,,,,,,,,,0,0,0,1,17,196.5,11.6,95.00%,,,,116,62,885,14.3,8,60,14,,,,,,,,,,,,,,,,,,
