RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
66,6,Aaron Jones Sr.,MIN,3,4,3,-1,-0.7,43% (7/16),RB,26,6,70,67,56,77,58,64,65.3,69  -2,,,,,,198.8,888.8,4.5,1.8,158.6,44.3,327.1,2.3,,,,,,,,,,,,,,,,,,,,255,"1,138",5,3,17,190.6,11.2,84.00%,4.5,41,3,62,51,408,8,2,,,,,,,,,,,,,,,,,,,,
67,6,Bo Nix,DEN,5,1,2,8,2.1,62% (10/16),QB,7,12,67,71,68,64,79,75,70.7,72  -2,556.5,363.5,"3,789.90",27.4,12,88.7,423.3,3.5,2,308.8,,,,,,,,,,,,,,,376,567,66.3,"3,775",6.7,29,12,24,92,430,4,0,17,328.1,19.3,93.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6,Baker Mayfield,TB,4,4,3,3,5,81% (13/16),QB,8,9,52,65,54,60,71,73,62.5,70  -8,551.5,382.1,"4,151.00",32.7,14.6,64.5,288.5,2.6,3.9,318.5,,,,,,,,,,,,,,,407,570,71.4,"4,500",7.9,41,16,40,60,378,3,2,17,381.8,22.5,95.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6,Mark Andrews,BAL,4,4,3,14,1.8,62% (10/16),TE,5,7,71,73,73,54,94,81,74.3,71  +2,,,,,,,,,0.8,114.7,58.9,700.5,7.7,,,,,,,,,,,,,,,,,,,,4,5,0,0,17,133.8,7.9,82.00%,,,,69,55,673,12.2,11,67,6,,,,,,,,,,,,,,,,,,
70,6,Tyrone Tracy Jr.,NYG,2,4,2,4,0.1,50% (8/16),RB,27,14,82,86,69,101,67,79,80.7,77  -2,,,,,,192.7,830.6,5.4,1.6,145.5,36,268.2,1.1,,,,,,,,,,,,,,,,,,,,192,839,5,2,17,144.3,8.5,84.10%,4.4,45,6,53,38,284,7.5,1,,,,,,,,,,,,,,,,,,,,
71,7,Ricky Pearsall,SF,5,2,3,10,1,40% (4/10),WR,31,14,86,95,72,110,70,92,87.5,82  +3,,,,,,7,54,0.3,0.6,187.6,63.4,851.5,5.5,,,,,,,,,,,,,,,,,,,,3,45,0,0,11,93.5,8.5,76.00%,,,,46,31,400,12.9,3,46,5,,,,,,,,,,,,,,,,,,
72,7,Rome Odunze,CHI,5,3,3,5,-0.9,25% (4/16),WR,32,5,75,79,98,89,82,65,81.3,78  -1,,,,,,1.3,8,0,0.9,193.2,68.5,917.7,5.6,,,,,,,,,,,,,,,,,,,,3,15,0,1,17,144.9,8.5,95.20%,,,,101,54,734,13.6,3,47,8,,,,,,,,,,,,,,,,,,
73,7,T.J. Hockenson,MIN,3,4,4,-6,-1.3,33% (3/9),TE,6,6,57,59,71,50,74,70,63.5,61  +3,,,,,,,,,0.5,102.7,72.6,762.5,4.6,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,45.5,4.6,86.20%,,,,62,41,455,11.1,0,34,5,,,,,,,,,,,,,,,,,,
74,7,Travis Hunter,JAC,5,4,2,-5,-,-,WR,33,8,73,68,82,62,73,61,69.8,68  +1,,,,,,3.8,21.7,0.1,0.8,197.8,71.6,928,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,7,Kaleb Johnson,PIT,5,2,2,1,-,-,RB,28,5,98,77,79,81,78,74,81.2,80  -4,,,,,,206.6,864.2,6.6,1.7,146.1,22.9,175.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,7,Emeka Egbuka,TB,5,2,4,16,-,-,WR,34,9,81,90,78,113,72,83,86.2,74  +8,,,,,,1.6,11.5,0,1.1,181.3,65.3,827.9,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,7,Jordan Mason,MIN,5,2,3,20,-1.6,33% (4/12),RB,29,6,119,102,97,121,77,93,101.5,90  +5,,,,,,164.2,755.5,4.7,0.7,117.1,16.2,118.4,0.5,,,,,,,,,,,,,,,,,,,,153,789,3,1,12,104,8.7,78.20%,5.2,38,9,14,11,91,8.3,0,,,,,,,,,,,,,,,,,,,,
78,7,Kyler Murray,ARI,4,4,4,16,-1.1,50% (8/16),QB,9,8,77,93,81,80,99,87,86.2,87  -4,538.5,365,"3,808.40",24.2,11.1,88.6,551.7,5.1,3.8,316,,,,,,,,,,,,,,,372,541,68.8,"3,851",7.1,21,11,30,78,572,5,4,17,308.4,18.1,62.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,7,Dak Prescott,DAL,4,3,3,24,-1.6,25% (2/8),QB,10,10,99,112,77,118,92,105,100.5,100  -6,602.3,396.2,"4,255.90",27.6,12.1,42.4,178.1,1.9,3.1,291.3,,,,,,,,,,,,,,,185,286,64.7,"1,978",6.9,11,8,21,13,54,1,1,8,124.5,15.6,89.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7,Jaylen Warren,PIT,3,3,2,-2,-1,35% (5/14),RB,30,5,84,96,86,108,69,82,87.5,84,,,,,,148.9,666,3.6,1.1,129.1,49.8,361.3,1.2,,,,,,,,,,,,,,,,,,,,120,511,1,1,15,86.1,5.7,91.60%,4.3,22,1,47,38,310,8.2,0,,,,,,,,,,,,,,,,,,,,
81,7,Jerry Jeudy,CLE,4,4,4,-13,2.5,68% (11/16),WR,35,9,68,74,70,98,66,71,74.5,75  -1,,,,,,0.3,4.8,0,0.6,219.7,82.8,"1,121.90",4.2,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,240.9,14.2,73.40%,,,,145,90,"1,229",13.7,4,89,13,,,,,,,,,,,,,,,,,,
82,7,Chris Olave,NO,2,4,3,-9,-3.5,30% (3/10),WR,36,11,85,75,101,88,76,69,82.3,76  +2,,,,,,0.3,2.6,0,0.9,193.7,75.1,941.1,4.3,,,,,,,,,,,,,,,,,,,,1,7,0,1,8,76.7,9.6,92.50%,,,,44,32,400,12.5,1,39,4,,,,,,,,,,,,,,,,,,
83,7,Travis Kelce,KC,4,3,4,-13,-1.9,37% (6/16),TE,7,10,56,60,61,59,62,77,62.5,65  -2,,,,,,,,,0.9,107.7,81.3,776.3,5.3,,,,,,,,,,,,,,,,,,,,1,1,0,1,16,98.4,6.2,96.30%,,,,133,97,823,8.5,3,38,9,,,,,,,,,,,,,,,,,,
84,7,Deebo Samuel Sr.,WAS,2,4,3,-2,-3.9,20% (3/15),WR,37,12,96,78,76,96,86,72,84,85  -6,,,,,,29.2,124.2,1.3,1,197.6,65.5,832.4,5.1,,,,,,,,,,,,,,,,,,,,42,136,1,1,15,153.6,10.2,92.30%,,,,81,51,670,13.1,3,76,10,,,,,,,,,,,,,,,,,,
85,7,Matthew Golden,GB,5,2,3,0,-,-,WR,38,5,79,87,100,116,81,90,92.2,86  +3,,,,,,0.5,9.4,0,0.8,191.6,65.2,904.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7,Rashee Rice,KC,5,4,2,-24,-0.7,75% (3/4),WR,39,10,76,55,84,47,80,85,71.2,73  -2,,,,,,0.8,4.1,0,0.6,166.9,61.9,733.1,5.4,,,,,,,,,,,,,,,,,,,,1,1,0,0,4,64.9,16.2,97.80%,,,,29,24,288,12,2,44,3,,,,,,,,,,,,,,,,,,
87,7,Travis Etienne Jr.,JAC,4,4,3,-1,-3.6,14% (2/14),RB,31,8,116,92,88,122,87,88,98.8,91  +1,,,,,,140.2,573.1,3.8,0.8,112.3,36.9,272.9,1.1,,,,,,,,,,,,,,,,,,,,150,558,2,1,15,91.2,6.1,90.70%,3.7,22,2,52,39,254,6.5,0,,,,,,,,,,,,,,,,,,,,
88,7,Brock Purdy,SF,4,2,2,23,0.6,53% (8/15),QB,11,14,78,109,89,106,120,98,100,96  -3,520.7,348.4,"4,276.10",27,12.4,64.6,279,3.6,2.9,310.3,,,,,,,,,,,,,,,300,455,65.9,"3,864",8.5,20,12,31,66,323,5,3,15,279,18.6,69.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,7,David Njoku,CLE,4,4,4,11,1.9,54% (6/11),TE,8,9,72,81,74,86,98,94,84.2,83  -3,,,,,,,,,0.8,101.6,76.3,736.8,4.9,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,84.5,7.7,71.90%,,,,97,64,505,7.9,5,29,4,,,,,,,,,,,,,,,,,,
90,7,Zach Charbonnet,SEA,5,1,3,5,1,43% (7/16),RB,32,8,125,108,91,153,84,99,110,94  +11,,,,,,135.9,586.2,4.9,0.8,119.2,36,267.2,1,,,,,,,,,,,,,,,,,,,,135,569,8,0,17,144.9,8.5,76.70%,4.2,51,3,52,42,340,8.1,1,,,,,,,,,,,,,,,,,,,,
91,7,J.K. Dobbins,DEN,4,4,3,21,1,50% (6/12),RB,33,12,97,103,102,132,89,106,104.8,92  +6,,,,,,147.2,655.3,4.8,1.2,118,29.6,189.7,1.2,,,,,,,,,,,,,,,,,,,,195,905,9,0,13,159.8,12.3,88.70%,4.6,61,6,38,32,153,4.8,0,,,,,,,,,,,,,,,,,,,,
92,7,Tucker Kraft,GB,5,2,4,15,1.6,56% (9/16),TE,9,5,106,115,114,120,100,108,110.5,97  +9,,,,,,,,,0.8,92.6,55.5,653.6,4.8,,,,,,,,,,,,,,,,,,,,3,6,0,1,17,113.3,6.7,60.00%,,,,70,50,707,14.1,7,67,11,,,,,,,,,,,,,,,,,,
93,7,Tyler Warren,IND,5,2,2,3,-,-,TE,10,11,90,82,94,84,91,91,88.7,79  +8,,,,,,,,,1.1,95.1,63.2,679.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7,Stefon Diggs,NE,4,3,3,-10,0.2,50% (4/8),WR,40,14,88,88,93,95,83,78,87.5,88  -2,,,,,,1.3,6.8,0.2,0.5,195.5,77.5,854.4,5.3,,,,,,,,,,,,,,,,,,,,3,8,1,0,8,121.9,15.2,91.00%,,,,64,47,496,10.6,3,49,5,,,,,,,,,,,,,,,,,,
95,7,Jordan Addison,MIN,4,3,4,-15,3.5,50% (7/14),WR,41,6,109,91,103,94,97,80,95.7,95  -4,,,,,,0.9,6.6,0.2,0.4,171.5,58,760.6,6.1,,,,,,,,,,,,,,,,,,,,3,20,1,0,15,212.5,14.2,87.60%,,,,99,63,875,13.9,9,69,13,,,,,,,,,,,,,,,,,,
96,7,Justin Fields,NYJ,5,4,4,25,0.9,46% (6/13),QB,12,9,126,161,116,63,127,107,116.7,110  +4,494,307.2,"3,232.90",19.3,10.8,135.2,744.3,6.1,3.8,299.2,,,,,,,,,,,,,,,106,161,65.8,"1,106",6.9,5,1,16,62,289,5,1,10,120.1,12,43.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,7,Tank Bigsby,PHI,4,2,3,22,0.6,40% (6/15),RB,34,9,134,139,105,209,101,123,135.2,124  +7,,,,,,150.5,618.7,5,1.1,98.3,10.6,76.9,0.2,,,,,,,,,,,,,,,,,,,,168,766,7,1,16,122,7.6,38.00%,4.6,65,4,12,7,54,7.7,0,,,,,,,,,,,,,,,,,,,,
98,7,Drake Maye,NE,5,2,3,28,1.4,58% (7/12),QB,13,14,117,129,130,146,136,115,128.8,123,516.5,345,"3,568.80",22.7,12.7,77.2,491.5,3.1,4.8,278.8,,,,,,,,,,,,,,,225,338,66.6,"2,276",6.7,15,10,34,54,421,2,6,13,187.1,14.4,94.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,7,Javonte Williams,DAL,4,4,3,-1,-2.1,25% (4/16),RB,35,10,102,113,109,150,93,103,111.7,109  -2,,,,,,167.4,641.6,4.4,0.6,116.6,34.3,219.9,0.9,,,,,,,,,,,,,,,,,,,,139,513,4,2,17,105.9,6.2,97.00%,3.7,20,1,70,52,346,6.7,0,,,,,,,,,,,,,,,,,,,,
100,7,Jauan Jennings,SF,4,3,3,2,2.4,42% (6/14),WR,42,14,114,110,121,111,106,96,109.7,104,,,,,,2.4,10.8,0.1,0.6,181.6,65.4,850.7,5.1,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,210.5,14,75.60%,,,,113,77,975,12.7,6,45,12,,,,,,,,,,,,,,,,,,
101,8,Caleb Williams,CHI,4,3,4,5,-0.3,43% (7/16),QB,14,5,111,147,120,115,109,131,122.2,128  -9,559.1,355.2,"3,750.60",23.8,10.3,86.7,469.9,2.6,4.5,288.5,,,,,,,,,,,,,,,351,562,62.5,"3,541",6.3,20,6,68,81,489,0,5,17,260.5,15.3,83.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,8,Justin Herbert,LAC,2,4,3,12,0.2,50% (8/16),QB,15,12,93,104,124,125,128,109,113.8,116  -6,534.2,350.3,"3,943.90",25.6,8.5,65.4,272,2.6,2.5,289.7,,,,,,,,,,,,,,,332,504,65.9,"3,870",7.7,23,3,41,69,306,2,2,17,288.6,17,93.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,8,Jakobi Meyers,LV,3,1,2,-16,1.1,50% (7/14),WR,43,8,83,84,90,117,95,76,90.8,89  -1,,,,,,1.2,8.7,0,0.5,197.9,77.7,907.4,4.9,,,,,,,,,,,,,,,,,,,,2,23,0,0,15,218,14.5,80.70%,,,,129,87,"1,027",11.8,4,43,16,,,,,,,,,,,,,,,,,,
104,8,Evan Engram,DEN,4,3,3,-15,-1.8,22% (2/9),TE,11,12,80,76,99,74,90,89,84.7,81,,,,,,,,,0.9,86.2,70.4,628.1,4.2,,,,,,,,,,,,,,,,,,,,0,0,0,1,9,42.5,4.7,64.00%,,,,64,47,365,7.8,1,24,2,,,,,,,,,,,,,,,,,,
105,8,Jared Goff,DET,2,4,4,-4,4,62% (10/16),QB,16,8,128,89,96,105,115,101,105.7,108  -8,547.7,378.7,"4,336.60",29.9,11.4,30.3,61.5,0.5,2.9,284.9,,,,,,,,,,,,,,,390,539,72.4,"4,629",8.6,37,12,31,35,56,0,0,17,335.5,19.7,86.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,8,Rhamondre Stevenson,NE,1,4,5,2,-1,40% (6/15),RB,36,14,103,131,111,129,107,104,114.2,121  -10,,,,,,153,620.8,5,1.5,113.2,27.8,176.8,1.1,,,,,,,,,,,,,,,,,,,,207,801,7,3,15,142.9,9.5,79.70%,3.9,33,2,41,33,168,5.1,1,,,,,,,,,,,,,,,,,,,,
107,8,Jayden Reed,GB,3,4,3,2,-0.3,37% (6/16),WR,44,5,130,123,137,139,119,126,129,131  -7,,,,,,11.1,79.8,0.7,0.9,164.3,52.6,703.2,5.2,,,,,,,,,,,,,,,,,,,,20,163,1,1,17,197,11.6,37.20%,,,,75,55,857,15.6,6,70,15,,,,,,,,,,,,,,,,,,
108,8,Jordan Love,GB,4,3,4,21,0.1,42% (6/14),QB,17,5,124,141,122,141,149,137,135.7,135  -2,505.5,324.4,"3,888.30",27.6,12.1,41.5,166.9,1.9,2.5,276.8,,,,,,,,,,,,,,,268,425,63.1,"3,389",8,25,11,14,25,83,1,0,15,244.9,16.3,76.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,8,Keon Coleman,BUF,4,4,4,7,-0.6,46% (6/13),WR,45,7,108,121,113,137,118,111,118,112  +4,,,,,,0.3,3.8,0,0.5,170.6,52.3,822.3,6.1,,,,,,,,,,,,,,,,,,,,1,9,0,0,13,111.5,8.6,60.80%,,,,57,29,556,19.2,4,64,12,,,,,,,,,,,,,,,,,,
110,8,Trevor Lawrence,JAC,5,3,2,28,-0.8,40% (4/10),QB,18,8,170,183,150,179,143,138,160.5,167  -9,549.7,352.8,"3,973.40",23.4,13,54.4,252.2,3.1,4.1,275.2,,,,,,,,,,,,,,,172,284,60.6,"2,045",7.2,11,7,18,26,119,3,1,10,152.2,15.2,37.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,8,Khalil Shakir,BUF,3,2,4,-21,-0.2,53% (8/15),WR,46,7,110,98,119,103,102,102,105.7,98  +3,,,,,,0.5,3,0,0.6,179.8,71,803.1,4.9,,,,,,,,,,,,,,,,,,,,2,4,0,0,15,182.5,12.2,81.10%,,,,100,76,821,10.8,4,52,9,,,,,,,,,,,,,,,,,,
112,8,Austin Ekeler,WAS,3,3,4,10,-0.1,54% (6/11),RB,37,12,95,119,83,140,96,144,112.8,99  +10,,,,,,108.8,487.9,4.7,1.4,123.4,47,384.1,1.8,,,,,,,,,,,,,,,,,,,,77,367,4,0,12,97.3,8.1,33.40%,4.8,50,4,41,35,366,10.5,0,,,,,,,,,,,,,,,,,,,,
113,8,Braelon Allen,NYJ,4,2,4,29,-1.2,18% (3/16),RB,38,9,152,156,126,191,103,95,137.2,120  +15,,,,,,116.6,440.4,3,0.4,78.7,16.8,126.5,0.8,,,,,,,,,,,,,,,,,,,,92,334,2,0,17,66.2,3.9,12.30%,3.6,20,1,27,19,148,7.8,1,,,,,,,,,,,,,,,,,,,,
114,8,Cam Skattebo,NYG,5,3,2,-9,-,-,RB,39,14,101,100,117,100,105,100,103.8,102  -5,,,,,,122.3,523.4,3.5,1.2,95,23.8,185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,8,C.J. Stroud,HOU,4,2,1,15,-3,25% (4/16),QB,19,6,123,120,136,136,146,124,130.8,141  -14,558.5,358.8,"4,056.70",24.9,10.6,58.7,256.8,1.7,3.7,279.7,,,,,,,,,,,,,,,336,532,63.2,"3,727",7,20,12,52,52,233,0,4,17,232.4,13.7,58.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,8,Kyle Pitts Sr.,ATL,4,4,4,23,-1.1,37% (6/16),TE,12,5,142,111,148,131,141,141,135.7,126  +6,,,,,,,,,0.1,90.2,51.2,648.4,4.2,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,84.2,5,79.10%,,,,74,47,602,12.8,4,52,7,,,,,,,,,,,,,,,,,,
117,8,Jacory Croskey-Merritt,WAS,3,4,4,61,-,-,RB,40,12,87,136,75,144,85,86,102.2,101  -5,,,,,,163.9,693.6,5.8,0.9,128.1,22.7,179.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,8,Josh Downs,IND,3,4,2,-5,1.2,46% (6/13),WR,47,11,132,124,131,142,121,114,127.3,115  +6,,,,,,0.3,5.8,0,0.5,172.4,69,767.3,4.5,,,,,,,,,,,,,,,,,,,,1,12,0,0,14,183.5,13.1,61.20%,,,,107,72,803,11.2,5,69,10,,,,,,,,,,,,,,,,,,
119,8,Nick Chubb,HOU,3,4,3,21,-2,37% (3/8),RB,41,6,121,116,107,174,104,151,128.8,122,,,,,,133.6,565.8,4.8,0.5,98.8,11.9,90.7,1,,,,,,,,,,,,,,,,,,,,102,332,3,1,8,58.3,7.3,55.10%,3.3,19,0,11,5,31,6.2,1,,,,,,,,,,,,,,,,,,,,
120,8,J.J. McCarthy,MIN,5,2,4,17,-,-,QB,20,6,136,150,151,158,148,133,146,150  -5,557.5,363.7,"4,045.60",28.5,14.4,57.4,258.2,2.1,3.8,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,8,Darnell Mooney,ATL,3,2,3,-1,0.6,50% (8/16),WR,48,5,140,146,118,183,133,117,139.5,137,,,,,,0,1.5,0,0.5,174.2,61.1,864.2,4.6,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,193.2,12.1,49.50%,,,,106,64,992,15.5,5,49,21,,,,,,,,,,,,,,,,,,
122,8,Najee Harris,LAC,2,4,4,-18,-1.1,37% (6/16),RB,42,12,159,148,139,119,117,128,135,129  +1,,,,,,124.6,484.2,3.8,0.8,86.9,17.7,130,0.7,,,,,,,,,,,,,,,,,,,,263,"1,043",6,0,17,168.6,9.9,7.90%,4,36,9,48,36,283,7.9,0,,,,,,,,,,,,,,,,,,,,
123,8,Dallas Goedert,PHI,3,2,4,20,-0.1,44% (4/9),TE,13,9,127,145,125,145,166,146,142.3,132  +8,,,,,,,,,0.5,86.1,57.5,634.2,3.9,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,61.6,6.2,89.60%,,,,52,42,496,11.8,2,61,6,,,,,,,,,,,,,,,,,,
124,8,Cooper Kupp,SEA,2,4,3,-36,-1.1,50% (6/12),WR,49,8,91,85,95,112,88,84,92.5,93  -3,,,,,,1.3,9.2,0,0.6,193,74.9,846.5,5.6,,,,,,,,,,,,,,,,,,,,2,10,0,0,12,175,14.6,71.90%,,,,100,67,710,10.6,6,69,10,,,,,,,,,,,,,,,,,,
125,8,Michael Pittman Jr.,IND,2,3,2,-15,-1.5,40% (6/15),WR,50,11,94,117,92,164,110,97,112.3,103  +5,,,,,,0.3,2,0,0.9,190.3,78.1,884.3,4.2,,,,,,,,,,,,,,,,,,,,0,0,0,1,16,165.8,10.4,87.20%,,,,111,69,808,11.7,3,33,12,,,,,,,,,,,,,,,,,,
126,8,Dalton Kincaid,BUF,4,4,3,-2,-2.4,23% (3/13),TE,14,7,129,114,143,128,140,125,129.8,118  +7,,,,,,,,,0.5,83.6,57.3,603.2,4,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,56.8,4.4,84.70%,,,,75,44,448,10.2,2,29,5,,,,,,,,,,,,,,,,,,
127,8,Rashid Shaheed,NO,4,4,3,9,2.2,66% (4/6),WR,51,11,135,130,161,177,151,119,145.5,125  +17,,,,,,8,46.7,0.1,1.2,170.9,55.5,840.5,4.7,,,,,,,,,,,,,,,,,,,,6,29,0,1,6,79.8,13.3,77.50%,,,,41,20,349,17.5,3,70,5,,,,,,,,,,,,,,,,,,
128,8,Trey Benson,ARI,4,2,2,7,-0.7,28% (4/14),RB,43,8,149,157,149,226,124,134,156.5,149  +5,,,,,,129.4,581.4,3.8,0.9,94.9,16.5,125.8,0.5,,,,,,,,,,,,,,,,,,,,63,291,1,0,13,41,3.2,58.00%,4.6,20,1,6,6,59,9.8,0,,,,,,,,,,,,,,,,,,,,
129,8,Brian Robinson Jr.,SF,2,4,3,-30,-0.6,53% (7/13),RB,44,14,168,94,129,107,114,149,126.8,117  +3,,,,,,106.3,427,3.5,1.2,70.4,8.1,66.5,0.4,,,,,,,,,,,,,,,,,,,,187,799,8,2,14,139.8,10,44.00%,4.3,40,4,25,20,159,8,0,,,,,,,,,,,,,,,,,,,,
130,8,Colston Loveland,CHI,4,4,3,-15,-,-,TE,15,5,112,101,132,114,113,122,115.7,105  +8,,,,,,,,,1.1,77.4,54.3,569.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,8,Chris Godwin Jr.,TB,4,4,4,-40,3.5,57% (4/7),WR,52,9,113,106,108,91,112,112,107,114  -12,,,,,,1.6,8.1,0,0.6,176.6,67.6,784.6,5.1,,,,,,,,,,,,,,,,,,,,1,2,0,0,7,137.8,19.7,68.60%,,,,62,50,576,11.5,5,55,7,,,,,,,,,,,,,,,,,,
132,8,Ray Davis,BUF,4,2,4,12,1.5,43% (7/16),RB,45,7,189,192,163,214,137,147,173.7,160  +12,,,,,,114.6,485.6,3.7,0.8,85.2,12.4,105.6,1,,,,,,,,,,,,,,,,,,,,113,442,3,0,17,99.1,5.8,13.40%,3.9,23,2,19,17,189,11.1,3,,,,,,,,,,,,,,,,,,,,
133,9,Rashod Bateman,BAL,4,4,4,31,1.7,50% (8/16),WR,53,7,173,165,145,182,210,158,172.2,154  +16,,,,,,0,0.6,0,0.1,153.9,47.7,714.7,5.8,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,174.6,10.3,17.90%,,,,72,45,756,16.8,9,59,11,,,,,,,,,,,,,,,,,,
134,9,Marvin Mims Jr.,DEN,4,4,2,-2,2,50% (8/16),WR,54,12,165,152,168,175,134,116,151.7,151,,,,,,11.9,49.7,0.1,0.6,159.4,52.8,697.8,5.4,,,,,,,,,,,,,,,,,,,,13,42,0,0,17,129.5,7.6,35.30%,,,,52,39,503,12.9,6,93,7,,,,,,,,,,,,,,,,,,
135,9,Jake Ferguson,DAL,3,3,3,-12,-2.6,30% (4/13),TE,16,10,137,128,140,159,125,136,137.5,127  +9,,,,,,,,,1.3,82.4,67.9,621,3.8,,,,,,,,,,,,,,,,,,,,0,0,0,2,14,45.4,3.2,87.60%,,,,86,59,494,8.4,0,27,6,,,,,,,,,,,,,,,,,,
136,9,Rachaad White,TB,2,4,3,-8,0.7,46% (7/15),RB,46,9,151,168,134,149,129,142,145.5,146  -3,,,,,,104.6,420.7,2.7,1.3,95.3,35.7,269.8,2.1,,,,,,,,,,,,,,,,,,,,144,613,3,3,16,148.6,9.3,74.30%,4.3,56,2,57,51,393,7.7,6,,,,,,,,,,,,,,,,,,,,
137,9,Quinshon Judkins,CLE,4,4,4,-44,-,-,RB,47,9,158,83,112,99,123,153,121.3,106  +12,,,,,,127,543.7,3.6,1.2,96.1,21.7,168.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,9,Tyler Allgeier,ATL,4,4,2,10,-0.4,31% (5/16),RB,48,5,163,186,173,188,145,160,169.2,165,,,,,,121.3,555.1,3.3,0.8,86.4,13.8,102.1,0.4,,,,,,,,,,,,,,,,,,,,137,644,3,0,17,93.2,5.5,33.00%,4.7,25,4,13,13,88,6.8,0,,,,,,,,,,,,,,,,,,,,
139,9,Tua Tagovailoa,MIA,2,4,3,13,1,54% (6/11),QB,21,12,166,204,155,194,161,172,175.3,194  -20,573.3,398,"4,133.40",26,11.9,26.8,86.1,0.5,3.9,261.6,,,,,,,,,,,,,,,291,399,72.9,"2,867",7.2,19,7,21,17,49,0,2,11,188.5,17.1,21.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,9,Bhayshul Tuten,JAC,4,4,3,-6,-,-,RB,49,8,148,172,144,165,131,132,148.7,145  +3,,,,,,106.6,448.9,3.1,0.9,81.3,18.5,145.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
